session_id,T,Interviewer mentions 30 minutes / half an hour,Participant mentions 30 minutes / half an hour,"Participant mentions before any interviewer mention, or without one",Participant mentions after an interviewer mention
MI-MAINEXP-20685022,3,False,False,False,False
MI-MAINEXP-20747992,1,False,False,False,False
MI-MAINEXP-20761597,3,False,False,False,False
MI-MAINEXP-20775581,1,False,False,False,False
MI-MAINEXP-20796330,1,False,False,False,False
MI-MAINEXP-20830304,0,False,False,False,False
MI-MAINEXP-20861590,0,False,False,False,False
MI-MAINEXP-20922275,0,False,False,False,False
MI-MAINEXP-20937948,3,True,False,False,False
MI-MAINEXP-20939203,2,False,False,False,False
MI-MAINEXP-2094609,3,False,False,False,False
MI-MAINEXP-20959199,0,False,False,False,False
MI-MAINEXP-20998473,3,True,False,False,False
MI-MAINEXP-21001762,2,True,True,True,False
MI-MAINEXP-21015587,0,False,False,False,False
MI-MAINEXP-2102010,0,False,False,False,False
MI-MAINEXP-21066821,3,True,True,False,True
MI-MAINEXP-21097321,3,False,False,False,False
MI-MAINEXP-21146911,0,False,False,False,False
MI-MAINEXP-21178860,0,False,False,False,False
MI-MAINEXP-21184960,2,False,False,False,False
MI-MAINEXP-21186349,0,False,False,False,False
MI-MAINEXP-21202731,3,True,True,False,True
MI-MAINEXP-21271494,0,False,False,False,False
MI-MAINEXP-21366413,0,False,False,False,False
MI-MAINEXP-21444153,2,False,False,False,False
MI-MAINEXP-21448048,0,False,False,False,False
MI-MAINEXP-21499496,0,False,False,False,False
MI-MAINEXP-21513193,1,False,False,False,False
MI-MAINEXP-21523886,3,True,False,False,False
MI-MAINEXP-21548184,0,False,False,False,False
MI-MAINEXP-21561078,2,False,False,False,False
MI-MAINEXP-2160156,3,True,True,False,True
MI-MAINEXP-21611899,3,True,False,False,False
MI-MAINEXP-21629832,3,False,False,False,False
MI-MAINEXP-21639632,2,False,False,False,False
MI-MAINEXP-21659888,1,False,False,False,False
MI-MAINEXP-21664272,1,False,False,False,False
MI-MAINEXP-21679967,3,True,False,False,False
MI-MAINEXP-21697615,3,False,False,False,False
MI-MAINEXP-21714839,1,False,False,False,False
MI-MAINEXP-21788296,3,False,False,False,False
MI-MAINEXP-21833377,3,True,True,False,True
MI-MAINEXP-21860228,0,True,True,True,False
MI-MAINEXP-21861581,2,False,False,False,False
MI-MAINEXP-21872563,2,False,False,False,False
MI-MAINEXP-21958466,2,False,False,False,False
MI-MAINEXP-21966530,2,True,True,True,False
MI-MAINEXP-21979264,0,False,False,False,False
MI-MAINEXP-21982165,1,False,False,False,False
MI-MAINEXP-21991802,3,True,True,True,True
MI-MAINEXP-21994046,3,False,False,False,False
MI-MAINEXP-22063576,2,False,False,False,False
MI-MAINEXP-22094085,0,False,False,False,False
MI-MAINEXP-22122473,0,False,False,False,False
MI-MAINEXP-22176206,2,False,False,False,False
MI-MAINEXP-22257117,1,False,False,False,False
MI-MAINEXP-22297862,1,False,False,False,False
MI-MAINEXP-22339485,2,False,False,False,False
MI-MAINEXP-22348178,0,False,False,False,False
MI-MAINEXP-22350764,3,True,True,True,True
MI-MAINEXP-22409510,1,False,False,False,False
MI-MAINEXP-22487342,3,True,True,False,True
MI-MAINEXP-22544335,2,False,False,False,False
MI-MAINEXP-22546092,2,True,True,True,False
MI-MAINEXP-22552857,2,False,False,False,False
MI-MAINEXP-22559150,1,False,False,False,False
MI-MAINEXP-22563496,0,False,False,False,False
MI-MAINEXP-22578933,2,False,False,False,False
MI-MAINEXP-22579011,1,False,False,False,False
MI-MAINEXP-22610803,1,False,False,False,False
MI-MAINEXP-22631799,0,False,False,False,False
MI-MAINEXP-22699407,2,False,False,False,False
MI-MAINEXP-22802141,0,False,False,False,False
MI-MAINEXP-22820592,1,False,False,False,False
MI-MAINEXP-22880573,3,True,True,False,True
MI-MAINEXP-22908938,2,False,False,False,False
MI-MAINEXP-22910626,2,False,False,False,False
MI-MAINEXP-22920641,0,False,False,False,False
MI-MAINEXP-22995312,2,False,False,False,False
MI-MAINEXP-23009184,0,False,False,False,False
MI-MAINEXP-23150615,1,False,False,False,False
MI-MAINEXP-23189458,0,False,False,False,False
MI-MAINEXP-23220325,0,False,False,False,False
MI-MAINEXP-23223540,3,False,False,False,False
MI-MAINEXP-23253060,0,True,False,False,False
MI-MAINEXP-23299390,2,False,False,False,False
MI-MAINEXP-23354446,1,False,False,False,False
MI-MAINEXP-2338145,1,False,False,False,False
MI-MAINEXP-23398424,1,True,True,True,False
MI-MAINEXP-23400567,1,False,False,False,False
MI-MAINEXP-23443349,1,False,False,False,False
MI-MAINEXP-23507216,0,False,False,False,False
MI-MAINEXP-23561314,1,False,False,False,False
MI-MAINEXP-23738046,3,True,False,False,False
MI-MAINEXP-23772438,2,True,True,True,False
MI-MAINEXP-23837942,0,False,False,False,False
MI-MAINEXP-23845880,2,False,False,False,False
MI-MAINEXP-23867184,3,True,False,False,False
MI-MAINEXP-23984649,1,False,False,False,False
MI-MAINEXP-23990885,0,False,False,False,False
MI-MAINEXP-23999056,0,True,True,True,False
MI-MAINEXP-24073592,0,True,True,True,False
MI-MAINEXP-24161231,1,False,False,False,False
MI-MAINEXP-24164851,3,False,False,False,False
MI-MAINEXP-24176039,2,False,False,False,False
MI-MAINEXP-24226645,2,False,False,False,False
MI-MAINEXP-24301045,1,False,False,False,False
MI-MAINEXP-24329295,1,True,True,True,False
MI-MAINEXP-24353361,2,False,False,False,False
MI-MAINEXP-24379897,0,False,False,False,False
MI-MAINEXP-24389010,1,False,False,False,False
MI-MAINEXP-24394933,3,True,True,False,True
MI-MAINEXP-24461108,3,False,False,False,False
MI-MAINEXP-2446850,3,True,False,False,False
MI-MAINEXP-24477696,3,False,False,False,False
MI-MAINEXP-24501181,3,False,True,True,False
MI-MAINEXP-24555218,3,True,False,False,False
MI-MAINEXP-24557944,1,False,False,False,False
MI-MAINEXP-24591001,2,False,True,True,False
MI-MAINEXP-24621209,2,False,False,False,False
MI-MAINEXP-24625845,3,False,False,False,False
MI-MAINEXP-24649973,0,False,False,False,False
MI-MAINEXP-24745509,0,False,False,False,False
MI-MAINEXP-24751296,0,False,False,False,False
MI-MAINEXP-24751622,0,False,False,False,False
MI-MAINEXP-24781097,0,False,False,False,False
MI-MAINEXP-24786300,0,False,False,False,False
MI-MAINEXP-2480213,1,False,False,False,False
MI-MAINEXP-24830241,2,False,False,False,False
MI-MAINEXP-24895320,2,False,False,False,False
MI-MAINEXP-24976894,1,False,False,False,False
MI-MAINEXP-24990583,3,False,False,False,False
MI-MAINEXP-2501791,0,True,True,True,False
MI-MAINEXP-25021525,1,False,False,False,False
MI-MAINEXP-25024449,1,False,False,False,False
MI-MAINEXP-25117011,3,True,True,False,True
MI-MAINEXP-25274183,2,False,False,False,False
MI-MAINEXP-25300174,3,True,True,False,True
MI-MAINEXP-25357562,0,True,True,True,False
MI-MAINEXP-25360886,2,False,False,False,False
MI-MAINEXP-25404911,1,True,True,True,False
MI-MAINEXP-2542158,0,False,False,False,False
MI-MAINEXP-25536630,0,True,True,False,True
MI-MAINEXP-2555784,2,False,False,False,False
MI-MAINEXP-25604099,1,False,False,False,False
MI-MAINEXP-25663239,1,False,False,False,False
MI-MAINEXP-25713460,1,False,False,False,False
MI-MAINEXP-25738540,2,False,True,True,False
MI-MAINEXP-25740066,0,False,False,False,False
MI-MAINEXP-25754865,2,False,True,True,False
MI-MAINEXP-25755432,3,False,False,False,False
MI-MAINEXP-25773518,0,False,False,False,False
MI-MAINEXP-25828521,1,False,False,False,False
MI-MAINEXP-25838992,0,False,False,False,False
MI-MAINEXP-25850983,0,False,False,False,False
MI-MAINEXP-25870007,2,False,False,False,False
MI-MAINEXP-25910945,2,False,False,False,False
MI-MAINEXP-26016594,2,False,False,False,False
MI-MAINEXP-26031344,0,False,False,False,False
MI-MAINEXP-26032482,2,False,False,False,False
MI-MAINEXP-26079391,0,True,True,True,False
MI-MAINEXP-26079610,2,False,False,False,False
MI-MAINEXP-26084987,2,True,True,True,False
MI-MAINEXP-26130618,1,False,False,False,False
MI-MAINEXP-26135189,2,False,False,False,False
MI-MAINEXP-26160738,2,False,False,False,False
MI-MAINEXP-26249443,3,False,False,False,False
MI-MAINEXP-2628620,0,False,False,False,False
MI-MAINEXP-26293200,2,False,False,False,False
MI-MAINEXP-26339108,2,False,False,False,False
MI-MAINEXP-26364441,2,False,False,False,False
MI-MAINEXP-26365240,3,True,True,True,True
MI-MAINEXP-26407166,0,True,False,False,False
MI-MAINEXP-26437058,2,False,False,False,False
MI-MAINEXP-26441619,3,False,False,False,False
MI-MAINEXP-26502628,2,True,True,True,False
MI-MAINEXP-26549330,2,False,False,False,False
MI-MAINEXP-26580100,2,False,False,False,False
MI-MAINEXP-26716432,2,False,False,False,False
MI-MAINEXP-26743031,3,True,False,False,False
MI-MAINEXP-26751803,1,False,False,False,False
MI-MAINEXP-26784986,1,False,False,False,False
MI-MAINEXP-26928315,3,True,False,False,False
MI-MAINEXP-26939983,1,False,False,False,False
MI-MAINEXP-27000384,1,False,False,False,False
MI-MAINEXP-27021599,1,False,False,False,False
MI-MAINEXP-27137171,3,False,False,False,False
MI-MAINEXP-27219187,3,True,True,False,True
MI-MAINEXP-27247292,1,False,False,False,False
MI-MAINEXP-27248664,3,True,True,False,True
MI-MAINEXP-27306634,1,True,True,True,False
MI-MAINEXP-27309411,0,False,False,False,False
MI-MAINEXP-27324787,0,True,True,True,False
MI-MAINEXP-27416356,3,False,False,False,False
MI-MAINEXP-27436427,2,False,True,True,False
MI-MAINEXP-27450514,1,True,True,True,True
MI-MAINEXP-27590220,0,False,False,False,False
MI-MAINEXP-27633603,1,False,False,False,False
MI-MAINEXP-27637568,3,True,False,False,False
MI-MAINEXP-2764093,2,False,False,False,False
MI-MAINEXP-27667710,0,False,False,False,False
MI-MAINEXP-27722966,0,False,False,False,False
MI-MAINEXP-27733835,2,True,True,True,False
MI-MAINEXP-27774790,2,False,False,False,False
MI-MAINEXP-27893998,0,False,False,False,False
MI-MAINEXP-27904502,2,False,False,False,False
MI-MAINEXP-27905527,1,False,False,False,False
MI-MAINEXP-27910276,2,False,False,False,False
MI-MAINEXP-27917972,0,False,False,False,False
MI-MAINEXP-27956634,0,False,False,False,False
MI-MAINEXP-27991973,2,False,False,False,False
MI-MAINEXP-28101048,2,False,False,False,False
MI-MAINEXP-28110811,0,False,False,False,False
MI-MAINEXP-28130686,3,False,False,False,False
MI-MAINEXP-2813523,2,True,True,True,False
MI-MAINEXP-28202873,2,False,False,False,False
MI-MAINEXP-2820614,1,False,False,False,False
MI-MAINEXP-28282260,0,False,False,False,False
MI-MAINEXP-28285692,2,True,True,True,True
MI-MAINEXP-28367157,3,True,True,True,False
MI-MAINEXP-2837871,1,False,False,False,False
MI-MAINEXP-28386505,1,False,False,False,False
MI-MAINEXP-28432436,0,False,False,False,False
MI-MAINEXP-28460599,1,False,False,False,False
MI-MAINEXP-28469985,0,False,False,False,False
MI-MAINEXP-28532680,2,False,False,False,False
MI-MAINEXP-28551882,0,True,True,True,False
MI-MAINEXP-28598923,2,False,False,False,False
MI-MAINEXP-28617349,3,True,True,True,False
MI-MAINEXP-28632300,0,False,False,False,False
MI-MAINEXP-28653663,3,True,False,False,False
MI-MAINEXP-2865529,0,False,False,False,False
MI-MAINEXP-28702005,1,False,False,False,False
MI-MAINEXP-28787805,3,True,True,False,True
MI-MAINEXP-28799272,1,False,False,False,False
MI-MAINEXP-2880314,0,True,True,True,False
MI-MAINEXP-28874009,1,False,False,False,False
MI-MAINEXP-28874857,0,False,False,False,False
MI-MAINEXP-28896168,2,False,False,False,False
MI-MAINEXP-28941069,2,False,False,False,False
MI-MAINEXP-28968920,0,False,False,False,False
MI-MAINEXP-28972082,2,True,True,True,False
MI-MAINEXP-28995280,0,False,False,False,False
MI-MAINEXP-29057789,2,False,False,False,False
MI-MAINEXP-29075491,3,True,False,False,False
MI-MAINEXP-29100432,2,False,False,False,False
