arm,ngram,term,delta,z,freq_in_arm
T2_MI_AMBIVALENCE,2,you enjoy,2.7498135673855213,30.750829789841596,783.0
T2_MI_AMBIVALENCE,2,time you,1.130626491621772,29.004244617668483,1342.0
T2_MI_AMBIVALENCE,2,your social,0.5825840913382567,28.319909875411675,3775.0
T2_MI_AMBIVALENCE,2,to mind,1.3899821051337824,28.189096995688377,966.0
T2_MI_AMBIVALENCE,2,time or,1.8971221013858577,27.553853452052035,684.0
T2_MI_AMBIVALENCE,2,not lower,1.1006714505699282,27.423942203479587,1247.0
T2_MI_AMBIVALENCE,2,especially in,1.8012578126976797,26.30874694625797,648.0
T2_MI_AMBIVALENCE,2,about social,1.2982611935003483,26.005499169871506,895.0
T2_MI_AMBIVALENCE,2,of social,1.9818485224534912,25.41479389616721,566.0
T2_MI_AMBIVALENCE,2,you'd miss,2.251491448626801,24.984341909798747,517.0
T2_MI_AMBIVALENCE,2,media helps,3.0835420506297737,24.978050948850136,548.0
T2_MI_AMBIVALENCE,2,lower number,1.0168209020071917,24.792709901183127,1146.0
T2_MI_AMBIVALENCE,2,like zero,1.0115601268056498,24.630901715068056,1140.0
T2_MI_AMBIVALENCE,2,values and,3.050579063781063,24.49206857082945,523.0
T2_MI_AMBIVALENCE,2,change for,2.6178191623829186,24.380284193365497,487.0
T2_MI_AMBIVALENCE,2,stands out,3.567443429395164,24.366347148615436,603.0
T2_MI_AMBIVALENCE,2,thanks for,2.0258702104982724,24.08308941519631,502.0
T2_MI_AMBIVALENCE,2,that matter,1.321066348581013,23.647393347906817,724.0
T2_MI_AMBIVALENCE,2,matter most,1.4294536084014346,23.594023983206437,655.0
T2_MI_AMBIVALENCE,2,miss if,1.3099622759416525,23.472431020127267,721.0
T2_MI_AMBIVALENCE,2,for confirming,2.9184209610578264,23.22137681698243,458.0
T2_MI_AMBIVALENCE,2,time it,3.3316766564391216,23.16695683693233,504.0
T2_MI_AMBIVALENCE,2,affects your,2.942238002276058,22.63330123896785,437.0
T2_MI_AMBIVALENCE,2,mind when,1.1325269784930256,21.672171548557763,748.0
T2_MI_AMBIVALENCE,2,goals that,1.347312144765274,21.664243455615185,593.0
T2_MI_AMBIVALENCE,2,stuck with,3.500302598781916,21.319938412156233,451.0
T2_MI_AMBIVALENCE,2,connection and,2.443125988684125,21.16615711325671,366.0
T1_MI_CHANGE,1,want,0.9573151810513938,47.615296425987424,4331.0
T1_MI_CHANGE,1,important,0.9935659166430462,45.38971784669534,3715.0
T1_MI_CHANGE,1,life,1.4062194925120917,42.675931058529834,2014.0
T1_MI_CHANGE,1,reducing,1.9079708297200304,39.733926696451626,1287.0
T1_MI_CHANGE,1,matters,1.9200669080899253,38.913991825846445,1229.0
T1_MI_CHANGE,1,reduce,1.1351824656965093,38.69323699020149,2212.0
T1_MI_CHANGE,1,person,1.6511811259592175,38.393330501974354,1363.0
T1_MI_CHANGE,1,changes,1.7351581271252137,33.47471619502866,989.0
T1_MI_CHANGE,1,supports,2.9597884028101475,32.767669706551075,815.0
T1_MI_CHANGE,1,noticed,1.5855127113555607,32.603601515246545,1026.0
